1;68504355; 466437; 487247; 413105; 335701; 535973; 236371; 288435; 419660; 440811; 535585; 432185; 355828; 487715; 381684; 336700; 429891; 371641; 454010; 346303; 
2;412941; 394261; 388662; 467860; 415777; 334294; 435426; 409433; 457863; 301510; 399983; 450667; 395812; 345506; 324367; 600879; 283493; 386461; 440505; 336811; 
4;378338; 405567; 412930; 352836; 366026; 328039; 374952; 299823; 423885; 347140; 386685; 424677; 430330; 330526; 348739; 311554; 393489; 316755; 297522; 505284; 
8;307449; 308770; 324167; 384337; 293354; 286620; 433906; 447768; 351545; 375663; 510234; 305227; 304226; 430857; 341056; 317444; 429058; 445543; 400797; 351488; 
16;411787; 384567; 311925; 344701; 459488; 451455; 347987; 387974; 474082; 342352; 414635; 387556; 445046; 299818; 440438; 328496; 425594; 315556; 324244; 430027; 
32;378911; 472978; 341666; 408674; 376880; 355492; 281989; 308632; 361335; 15616453; 785096; 583815; 401932; 356489; 261172; 264549; 295510; 266739; 333795; 631170; 
64;470627; 384660; 444289; 584880; 340507; 311023; 431853; 1422849; 397144; 489763; 467407; 414270; 481252; 382092; 286314; 335306; 394185; 319283; 402272; 294824; 
128;294940; 318476; 371379; 383255; 385043; 311407; 337629; 410373; 404424; 346796; 400268; 297937; 306945; 383871; 372492; 344118; 317192; 298081; 317167; 345308; 
256;343644; 389751; 385077; 481574; 300764; 302337; 354910; 302842; 308191; 3252284; 378968; 452974; 413414; 358211; 437606; 401384; 377096; 408072; 366931; 308434; 
512;350573; 318728; 319388; 320715; 542590; 387131; 333146; 465337; 390502; 299322; 558664; 377971; 302466; 308945; 316057; 362621; 419721; 379324; 281958; 321877; 
1024;322732; 496439; 466393; 586943; 516109; 423485; 358864; 447319; 473505; 411248; 401519; 328790; 504958; 370309; 385994; 516036; 383738; 410927; 347993; 562306; 
2048;533095; 652306; 526509; 560492; 658688; 518340; 503053; 585286; 595455; 4774199; 804936; 453903; 381517; 439955; 297358; 414875; 434694; 428266; 385402; 334787; 
4096;490071; 417557; 512403; 488270; 16697850; 707445; 523922; 442938; 325609; 333013; 434537; 798128; 425169; 348360; 357980; 2624385; 473797; 325033; 361157; 353659; 
8192;780332; 708602; 487315; 591947; 507029; 464910; 457366; 411522; 419477; 545134; 477208; 433771; 495238; 509826; 418379; 483806; 469232; 459904; 431419; 509188; 
16384;488292; 193913; 346552; 146344; 338637; 72106; 361139; 1650754; 97345; 73241; 39373; 455190; 49644; 67097; 710286; 177394; 71339; 38561; 73039; 50140; 
32768;88100; 5621535; 31802490; 324505; 152925; 928953; 124277; 56988; 246896; 77442; 212989; 13550084; 114645; 276614; 85365; 359145; 89934; 30509212; 139277; 356558; 
65536;209439; 210887; 153583; 207434; 1416562; 279331; 212791; 110612; 12204390; 40230612; 1094574; 291511; 225786; 103117; 654820; 259704; 1012339; 3622480; 41136712; 186584; 
